"variable","newly_mean","already_mean","not_vuln_mean","p_newly_vs_not"
"Evap. prevalence",0.17,0.43,0.03,1.87e-14
"Median income ($)",68164.5,60240.06,90084.21,0.0175
"Minority (%)",0.41,0.57,0.38,0.472
"Renter (%)",0.31,0.3,0.3,0.696
"Year built",1970.75,1966.82,1992.2,6.69e-07
