"variable","hotspot_mean","hotspot_se","city_mean","city_se","wilcox_p"
"Evap. prevalence",0.52,0.03,0.24,0.01,4.79e-09
"Mean summer tmax (C)",37.03,0.03,36.83,0.02,0.00175
"Median income ($)",49681.83,4345.71,73963.84,1464.7,7.63e-05
"Minority (%)",0.65,0.04,0.48,0.01,0.000164
"Renter (%)",0.32,0.02,0.3,0.01,0.0458
"Year built",1972.04,2.66,1978.4,0.78,0.057
"Mean NDVI (tree cover)",0.15,0.01,0.17,0,0.0119
