"variable","desert_mean","city_mean","wilcox_p"
"Evap. prevalence",0.57,0.24,3.54e-22
"Median income ($)",35432.98,73963.84,7.76e-23
"Minority (%)",0.66,0.48,7.07e-08
"Renter (%)",0.34,0.3,0.00391
"Year built",1963.96,1978.4,1.52e-08
