"season","failure_days","total_failure_hours","longest_streak","failure_days_se","total_failure_hours_se","longest_streak_se"
"Monsoon",45.8,252.5,18.9,3.1,26.9,3.6
"Pre-monsoon",5.8,27.8,4.5,1.1,8.4,1
