"ssp","period","n_above","n_newly_above","pct_above","pct_newly_above"
"observed","baseline",305,0,51.7,0
"ssp245","near",316,11,53.6,1.9
"ssp245","mid",321,16,54.4,2.7
"ssp245","far",323,18,54.7,3.1
"ssp585","near",314,9,53.2,1.5
"ssp585","mid",322,17,54.6,2.9
"ssp585","far",325,20,55.1,3.4
