"season","failure_days","total_failure_hours","longest_streak","failure_days_se","total_failure_hours_se","longest_streak_se"
"Monsoon",28.7,161.5,14.1,6.1,41.6,3.7
"Pre-monsoon",3.4,13.9,2.5,1,4.7,0.8
