"variable","estimate","se","p"
"Intercept",-1.344,0.052,5.33e-98
"Summer tmax (z)",0.098,0.052,0.0619
"Income (z)",-0.991,0.073,1.85e-36
"Renter (z)",-0.527,0.061,8.2e-17
