"variable","estimate","se","p"
"Intercept",-1.524,0.048,1.11e-127
"Income (z)",-0.514,0.062,1.19e-15
"Minority (z)",0.528,0.042,7.29e-32
"Year built (z)",-0.801,0.048,8.15e-51
"Renter (z)",-0.672,0.058,2.94e-28
"Covenant",-0.034,0.116,0.768
