"ssp","period","delta_median","delta_p10","delta_p90"
"ssp245","far",11.2388888888889,8.8,14.6033333333333
"ssp585","far",15.0388888888889,14.6,16.4033333333333
"ssp245","mid",9.38888888888889,7.3,12.4033333333333
"ssp585","mid",10.6388888888889,8.60000000000001,13.6033333333333
"ssp245","near",7.38888888888889,4.8,10.9033333333333
"ssp585","near",4.88888888888889,2,8.70333333333333
