"variable","estimate","se","p"
"(Intercept)",0.237,0.015,0
"z_income",-0.031,0.007,1.65e-05
"z_minority",0.038,0.008,2.54e-06
"z_year_built",-0.135,0.008,0
"z_renter",-0.052,0.006,1.11e-15
"covenant1",0.009,0.019,0.622
